ID;1.vs.22;2.vs.23;3.vs.24;4.vs.25;5.vs.26;6.vs.27;7.vs.28;8.vs.29;9.vs.30;10.vs.31;11.vs.32;12.vs.33;13.vs.34;14.vs.35;15.vs.36;16.vs.37;17.vs.38;18.vs.39;19.vs.40;20.vs.41;21.vs.42
A0A3B5ZPD6;1;0;0;0;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0
A0A3B5XVA9;1;0;0;0;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0
A0A3B5XW96;1;0;0;0;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0
A0A3B5ZS22;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0
A0A3B5YWQ4;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0
A0A3B5XY69;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0
A0A3B5XY56;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0
A0A3B5ZW36;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
W5C9U7;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;1
A0A3B6C1P5;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;1
A0A3B6AUW6;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;1
A0A3B6AXG0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;1;1
A0A3B6AYU2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A0A3B6DHE2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A0A3B6DEX7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A0A3B6B1B4;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B6B267;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A0A3B6CA96;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
A0A3B6B2S4;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
A0A1D5URZ6;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
A0A3B6B2Z6;1;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0
A0A3B6B3B0;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0
A0A3B6B6Y3;1;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0
G3LT25;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0
A0A3B6BXQ0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0
